ID,STATE,COUNTY,AREA_SQMI,Pop_Density,CDC_SVI_Overall_Ranking,FIPS,Lat,Long_,5_4_Confirmed,5_4_Deaths,ET_Total_Population,EM_Total_Pop_Median_Age,E_Total_Pop_SEX_Male,E_Total_Pop_SEX_Female,E_Total_Pop_RACE_One_Race,E_Total_Pop_RACE_White,E_Total_Pop_RACE_Black,E_Total_Pop_RACE_Native_Pop,E_Total_Pop_RACE_Asian,E_Total_Pop_RACE_Pacific_Islander,E_Total_Pop_RACE_Other_Race,E_Total_Pop_RACE_Two_or_More_Races,E_Total_Pop_RACE_Hispanic,E_Total_Pop_RACE_White_Alone,E_Total_Pop_in_Households_Householder_Spouse,E_Total_Pop_in_Households_Householder_Parent,E_Total_Pop_in_Households_Householder_Other_Relative,E_Total_Pop_in_Households_Householder_Nonrelative,E_Total_Pop_in_Households_Householder_Unmarried_Partner,E_Total_Households_TYPE_Family,E_Total_Households_TYPE_Family_Married_Couple,E_Total_Households_TYPE_Family_Female_Householder,E_Total_Households_TYPE_Nonfamily,E_Total_Households_TYPE_Nonfamily_Householder_Living_Alone,E_Total_Pop_Over_15_MARITAL_STATUS_Married,E_Total_Pop_Over_15_MARITAL_STATUS_Widowed,E_Total_Pop_Over_15_MARITAL_STATUS_Divorced,E_Total_Pop_Over_15_MARITAL_STATUS_Separated,E_Total_Pop_Over_15_MARITAL_STATUS_Never_Married,E_Total_Pop_Over_15_EDUCATION_Less_Than_High_School,E_Total_Pop_Over_15_EDUCATION_High_School_Grad,E_Total_Pop_Over_15_EDUCATION_Some_College,E_Total_Pop_Over_15_EDUCATION_Bachelors_Degree_or_Higher,E_Total_Pop_Over_30_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together,E_Total_Pop_Over_30_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together_and_Responsible,E_Total_Pop_Over_18_VETERAN_STATUS_Civilian_Veteran,E_Total_Pop_DISABILITY_STATUS_Yes,E_Total_Pop_DISABILITY_STATUS_No,E_Total_Pop_Over_1_Place_of_Residence_Last_Year_Same_House,E_Total_Pop_Over_1_Place_of_Residence_Last_Year_Different_US_House,E_Total_Pop_Over_1_Place_of_Residence_Last_Year_Different_Foreign_House,ET_Total_Pop_CITIZENSHIP_Native,ET_Total_Pop_CITIZENSHIP_Foreign_Born,E_Total_Pop_CITIZENSHIP_Foreign_Born_Post_2010_Entry,E_Total_Pop_CITIZENSHIP_Foreign_Born_Btwn_2000_2009_Entry,E_Total_Pop_CITIZENSHIP_Foreign_Born_Before_2000_Entry,E_Total_Pop_CITIZENSHIP_Foreign_Born_US_Citizen,E_Total_Pop_CITIZENSHIP_Foreign_Born_Not_US_Citizen,E_Total_Pop_Over_5_LANGUAGE_English_Only_At_Home,E_Total_Pop_Over_5_LANGUAGE_Nonenglish_At_Home,E_Total_Pop_Over_5_LANGUAGE_Limited_English,ET_Total_Pop_Over_16_EMPLOYMENT_STATUS_In_Labor_Force,E_Total_Pop_Over_16_EMPLOYMENT_STATUS_In_Civilian_Labor_Force,E_Total_Pop_Over_16_EMPLOYMENT_STATUS_In_Civilian_Labor_Force_Employed,E_Total_Pop_Over_16_EMPLOYMENT_STATUS_In_Civilian_Labor_Force_Unemployed,E_Total_Pop_Over_16_EMPLOYMENT_STATUS_In_Civilian_Labor_Force_Unemployed_Percent_of_Labor_Force,E_Total_Pop_Over_16_EMPLOYMENT_STATUS_In_Armed_Forces,E_Total_Pop_Over_16_EMPLOYMENT_STATUS_Not_In_Labor_Force,EM_Total_Households_WITH_INCOME_Mean_Earnings,EM_Total_Households_WITH_INCOME_Mean_Social_Security,EM_Total_Households_WITH_INCOME_Mean_Suppl_Security,EM_Total_Households_WITH_INCOME_Mean_Retirement_Income,EM_Total_Households_WITH_INCOME_Mean_Cash_Public_Asst,E_Total_Households_WITH_INCOME_WITH_EARNINGS,E_Total_Households_WITH_INCOME_WITH_Social_Security,E_Total_Households_WITH_INCOME_WITH_Suppl_Security,E_Total_Households_WITH_INCOME_WITH_Cash_Public_Asst,E_Total_Households_WITH_INCOME_WITH_Retirement_Income,E_Total_Households_WITH_INCOME_WITH_SNAP,E_Total_Pop_POVERTY_STATUS_Below_100_Percent,E_Total_Pop_POVERTY_STATUS_Btwn_100_149_Percent,E_Total_Pop_POVERTY_STATUS_Above_150_Percent,E_Total_HOUSING_UNITS_Owner_Occupied,E_Total_HOUSING_UNITS_Rented,E_Total_HOUSING_UNITS_No_Telephone,E_Total_HOUSING_UNITS_More_Than_One_Occupant_Per_Room,EM_Total_HOUSING_UNITS_Avg_Household_Size_Rented,EM_Total_HOUSING_UNITS_Avg_Household_Size_Owned
1520,WASHINGTON,Spokane,1763.888507,282.2599036,0.4825,53063,47.62113146,-117.4046494,372,22,497875,37.5,246946,250929,474972.75,438627.875,7966,7468.125,10953.25,2489.375,6970.25,22902.25,27881,422695.875,293592.81,3856.72,151376.26,33746.3,13980.61,125842.026,94877.742,21833.79,72646.974,57760.299,200683.89,22298.21,55542.814,5270.486,121626.6,21296.961,79779.092,134204.659,102766.288,8078.94,3291.42,43387.367,72827.624,415948.376,397104.525,92510.1,2460.375,470995,26880,4462.08,7848.96,14568.96,14810.88,12069.12,433631.2,33643.8,12149.15,243918.532,241124.048,227550.84,13573.208,22355.872,2794.484,155293.468,74227,19543,9705,23875,2452,150851.64,63913.458,11512.362,9130.494,38705.355,33544.641,69620.688,43512.93,369859.905,124254.114,74234.886,4366.758,3572.802,2.27,2.52
1521,WASHINGTON,Stevens,2477.392472,17.84699054,0.4615,53065,48.40035475,-117.8542701,9,1,44214,46.6,21930.144,22283.856,42401.226,39262.032,221.07,2166.486,265.284,0,442.14,1812.774,1591.704,38333.538,26945.39,307.195,14043.2,2589.215,1141.01,11993.904,9448.686,1551.537,5439.096,4410.549,20342.01,2438.13,4876.26,545.85,8187.75,2990.79,10861.29,11805.75,5824.17,945.056,502.061,4729.788,8482.929,35470.071,38667.762,5041.715,131.523,42902,1312,99.712,417.216,795.072,767.52,544.48,40349.545,1463.455,334.504,17552.592,17516.916,16339.608,1177.308,2390.292,35.676,18123.408,64408,18314,10056,24364,2539,11314.017,7932.015,1481.805,575.289,4515.147,3015.909,6828.744,4640.044,32305.212,13510.575,3922.425,348.66,383.526,2.35,2.57
1522,WASHINGTON,Thurston,722.4885316,380.191502,0.3299,53067,46.9291895,-122.8290656,113,1,274684,39,134320.476,140363.524,258477.644,224416.828,8515.204,3845.576,15931.672,2472.156,3570.892,16206.356,23897.508,207111.736,163343.655,2167.08,84787.005,20587.26,8126.55,71974.62,55331.84,12103.84,36095.38,27990.13,118646.672,11707.072,28367.136,2926.768,63713.488,11514.9,40877.895,71008.55,68513.655,4649.535,1549.845,28904.534,34908.64,233619.36,218976.1,50323.7,2448.18,253373,21311,3196.65,4667.109,13447.241,12786.6,8524.4,229087.704,29476.296,10342.56,139907.25,135909.9,126582.75,9327.15,15323.175,3997.35,82167.75,82099,20502,10637,30096,2932,83538.11,34690.47,4322.8,3566.31,26585.22,12752.26,29808.79,19240.219,222210.98,68840.59,39229.41,2269.47,2053.33,2.42,2.56
1523,WASHINGTON,Walla Walla,1270.031936,47.4287286,0.6831,53071,46.23040051,-118.4775539,92,0,60236,37.1,30840.832,29395.168,57706.088,50839.184,1084.248,421.652,1024.012,60.236,4276.756,2529.912,12770.032,43309.684,33340.908,275.09,17935.868,3466.134,1430.468,14341.472,11085.088,2386.528,7962.528,6445.856,23256.772,2628.164,6049.736,942.172,16711.156,4809.24,8120.52,15255.54,11274.12,920.218,283.144,4780.229,8673.424,48388.576,46789.14,12576.444,238.416,54126,6110,855.4,1405.3,3849.3,1942.98,4167.02,46004.594,10861.406,4719.878,28147.791,28147.791,26684.301,1463.49,2536.716,0,20635.209,74700,19311,10307,23674,2168,16504.96,7962.528,1249.024,691.424,4260.064,2988.736,7606.422,5070.948,42441.63,14408.384,7895.616,401.472,602.208,2.29,2.56
1524,WASHINGTON,Whatcom,2107.896473,102.8570439,0.4541,53073,48.82227976,-121.7490018,317,28,216812,37,107321.94,109490.06,207272.272,181905.268,2168.12,6504.36,8889.292,650.436,6937.984,9539.728,19946.704,171931.916,125800.255,1480.003,60891.552,23468.619,6554.299,51599.856,40803.84,7140.672,33408.144,23292.192,85859.886,8151.255,20287.568,3079.363,63760.928,10984.204,33237.916,50070.852,48359.028,3192.325,1276.93,13716.138,28419.468,186879.532,171493.365,41853.825,1287.81,194650,22162,3634.568,4919.964,13607.468,11236.134,10925.866,181473.675,23581.325,7792.09,112340.408,112161.522,105006.082,6976.554,11269.818,178.886,66545.592,76101,19707,9387,26175,2660,64521.072,27202.56,4335.408,2295.216,15896.496,11051.04,31734.9,17136.846,162694.254,52704.96,32303.04,1785.168,2295.216,2.34,2.58
1525,WASHINGTON,Yakima,4294.518831,58.05656229,0.9277,53077,46.45738486,-120.7380126,1372,48,249325,32.8,124911.825,124413.175,241097.275,194722.825,2742.575,10471.65,2243.925,249.325,30666.975,8227.725,121919.925,108955.025,123319.312,2456.56,105632.08,14002.392,6878.368,59585.2,41232.3,12756.5,22714.8,18599.8,90055.916,10462.928,19244.314,4297.274,62590.73,40470.243,42426.054,43479.183,24071.52,7742.13,2803.185,11525.844,32037.59,214405.41,212021.83,32959.31,983.86,204088,45237,4433.226,13616.337,27187.437,12485.412,32751.588,136585.242,92200.758,37063.332,112394.744,112212.285,104731.466,7480.819,12042.294,182.459,70064.256,66326,18275,10090,23058,3170,64440.9,25595.3,5349.5,3538.9,14073.3,18517.5,44678.998,37559.817,163250.185,52013.6,30286.4,1975.2,6666.3,2.95,3
1526,WEST VIRGINIA,Berkeley,321.1483868,353.4036124,0.4433,54003,39.46704621,-78.02414609,166,2,113495,38.8,56066.53,57428.47,110090.15,98740.65,8739.115,113.495,1134.95,0,1361.94,3404.85,4766.79,95562.79,65601.872,1242.032,39067.552,7113.456,3387.36,29920.004,22353.529,5145.203,13316.996,10766.013,47736.4,5010.5,11843,1913.1,24688.1,8704.976,29146.125,23627.792,16321.83,2803.04,840.912,10267.796,17174.328,95814.672,97563.72,14097.51,223.77,109475,4020,458.28,1169.82,2391.9,2215.02,1804.98,100900.38,5534.62,1383.655,58132.75,57953.88,53929.305,4024.575,6171.015,268.305,31302.25,71205,19250,9420,25283,2803,34113.993,13360.233,2810.405,778.266,9858.036,5447.862,14315.567,8566.796,89725.916,32038.617,11198.383,821.503,1037.688,2.72,2.57
1527,WEST VIRGINIA,Cabell,281.0194615,339.186473,0.6245,54011,38.42424062,-82.23855912,44,0,95318,38.5,46705.82,48612.18,93316.322,86453.426,4765.9,190.636,1334.452,95.318,571.908,2001.678,1334.452,85690.882,55233.475,821.655,28210.155,7029.715,2647.555,21914.284,15653.06,4557.22,17713.716,14464.22,33484.656,5726.592,11850.864,1272.576,27280.848,7624.56,21031.078,18616.634,16329.266,1725.96,805.448,6412.14,17640.04,76189.96,79563.948,14835.558,188.988,93858,1460,438,259.88,762.12,734.38,725.62,87750.208,2157.792,629.356,41131.096,41052.9,38863.412,2189.488,4222.584,78.196,37064.904,62985,18849,9624,19701,2044,26194.108,14939.756,2972.1,1030.328,7648.204,6617.876,20520.675,9667.518,60923.604,24648.616,14979.384,2179.54,317.024,2.14,2.4
1528,WEST VIRGINIA,Fayette,661.6125601,66.6946226,0.764,54019,38.02974928,-81.08286634,16,0,44126,43.8,22107.126,22018.874,43640.614,41213.684,2250.426,88.252,44.126,0,44.126,485.386,485.386,40816.55,26736.57,466.829,13325.846,1909.755,891.219,11940.445,8879.705,2064.22,5854.555,5249.525,18926.684,3251.882,5115.32,401.918,8805.658,5633.556,13686.04,7702.376,4837.856,1139.463,496.689,3849.34,11311.893,31699.107,40364.34,3138.48,87.18,43860,266,86.982,42.028,136.99,96.026,169.974,40722.484,873.516,166.384,17120.88,17120.88,15856.68,1264.2,2672.88,0,18999.12,53549,18635,8899,16483,3330,11264.235,8363.65,1690.525,480.465,4697.88,3594.59,8462.6,4950.621,28899.779,14093.64,3701.36,302.515,284.72,2.06,2.47
1529,WEST VIRGINIA,Greenbrier,1019.812562,34.66029084,0.5557,54025,37.9463652,-80.45335881,7,0,35347,45.4,17213.989,18133.011,34498.672,33226.18,848.328,0,247.429,0,176.735,848.328,671.593,32660.628,22390.53,347.14,10310.058,1700.986,833.136,9476.7,7092.24,1467.36,5808.3,4967.625,14699.769,2602.776,4466.127,236.616,7601.289,3903.6,10045.264,6870.336,5178.776,839.86,599.9,2693.06,7300.65,27464.35,30292.68,4582.38,69.96,34891,456,162.792,206.112,87.096,159.144,296.856,32712.592,804.408,301.653,14654.905,14654.905,13664.315,990.59,1952.045,0,14480.095,52022,18075,8928,18528,2444,10271.52,6893.535,1207.515,259.845,3974.1,2353.89,6211.479,4476.429,23978.391,10944.06,4340.94,229.275,168.135,2.05,2.36
