,ET_Over_60_Population,EM_Over_60_Pop_Median_Age,E_Over_60_SEX_Male,E_Over_60_SEX_Female,E_Over_60_RACE_One_Race,E_Over_60_RACE_White,E_Over_60_RACE_Black,E_Over_60_RACE_Native_Pop,E_Over_60_RACE_Asian,E_Over_60_RACE_Pacific_Islander,E_Over_60_RACE_Other_Race,E_Over_60_RACE__Two_or_More_Races,E_Over_60_RACE_Hispanic,E_Over_60_RACE_White_Alone,E_Over_60_Pop_in_Households_Householder_Spouse,E_Over_60_Pop_in_Households_Householder_Parent,E_Over_60_Pop_in_Households_Householder_Other_Relative,E_Over_60_Pop_in_Households_Householder_Nonrelative,E_Over_60_Pop_in_Households_Householder_Unmarried_Partner,E_Over_60_Households_TYPE_Family,E_Over_60_Households_TYPE_Family_Married_Couple,E_Over_60_Households_TYPE_Family_Female_Householder,E_Over_60_Households_TYPE_Nonfamily,E_Over_60_Households_TYPE_Nonfamily_Householder_Living_Alone,E_Total_Pop_Over_60_MARITAL_STATUS_Married,E_Total_Pop_Over_60_MARITAL_STATUS_Divorced,E_Total_Pop_Over_60_MARITAL_STATUS_Separated,E_Total_Pop_Over_60_MARITAL_STATUS_Never_Married,E_Pop_Over_60_EDUCATION_Less_Than_High_School,E_Pop_Over_60_EDUCATION_Less_High_School_Grad,E_Pop_Over_60_EDUCATION_Some_College,E_Pop_Over_60_EDUCATION_Bachelors_Degree_or_Higher,E_Total_Pop_Over_60_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together,E_Total_Pop_Over_60_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together_and_Responsible,E_Pop_Over_60_VETERAN_STATUS_Civilian_Veteran,E_Pop_Over_60_DISABILITY_STATUS_Yes,E_Pop_Over_60_DISABILITY_STATUS_No,E_Pop_Over_60_Place_of_Residence_Last_Year_Same_House,E_Pop_Over_60_Place_of_Residence_Last_Year_Different_US_House,E_Pop_Over_60_Place_of_Residence_Last_Year_Different_Foreign_House,ET_Over_60_Pop_CITIZENSHIP_Native,ET_Over_60_Pop_CITIZENSHIP_Foreign_Born,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Post_2010_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Btwn_2000_2009_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Before_2000_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_US_Citizen,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Not_US_Citizen,E_Over_60_Pop_LANGUAGE_English_Only_At_Home,E_Over_60_Pop_LANGUAGE_Nonenglish_At_Home,E_Over_60_Pop_LANGUAGE_Limited_English,ET_Over_60_Pop_EMPLOYMENT_STATUS_in_Labor_Force,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force_Employed,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force_Unemployed,E_Total_Pop_Over_60_EMPLOYMENT_STATUS_Not_In_Labor_Force,E_Total_Pop_Over_60_EMPLOYMENT_STATUS_In_Civilian_Labor_Force_Unemployed_Percent_of_Labor_Force,EM_Over_60_Households_WITH_INCOME_Mean_Earnings,EM_Over_60_Households_WITH_INCOME_Mean_Social_Security,EM_Over_60_Households_WITH_INCOME_Mean_Suppl_Security,EM_Over_60_Households_WITH_INCOME_Mean_Retirement_Income,EM_Over_60_Households_WITH_INCOME_Mean_Cash_Public_Asst,E_Over_60_Households_WITH_INCOME_WITH_EARNINGS,E_Over_60_Households_WITH_INCOME_WITH_Social_Security,E_Over_60_Households_WITH_INCOME_WITH_Suppl_Security,E_Over_60_Households_WITH_INCOME_WITH_Cash_Public_Asst,E_Over_60_Households_WITH_INCOME_WITH_Retirement_Income,E_Over_60_Households_WITH_INCOME_WITH_SNAP,E_Over_60_Pop_POVERTY_STATUS_Below_100_Percent,E_Over_60_Pop_POVERTY_STATUS_Btwn_100_149_Percent,E_Over_60_Pop_POVERTY_STATUS_Above_150_Percent,E_Over_60_HOUSING_UNITS_Owner_Occupied,E_Over_60_HOUSING_UNITS_Rented,E_Over_60_HOUSING_UNITS_No_Telephone,E_Over_60_HOUSING_UNITS_More_Than_One_Occupant_Per_Room,EM_Over_60_HOUSING_UNITS_Avg_Household_Size_Owned,EM_Over_60_HOUSING_UNITS_Avg_Household_Size_Rented,E_TRANSPORTATION_Workers_Over_60_Public_Transportation,E_TRANSPORTATION_Workers_Over_16_over_60_mins_public_transportation,STATE,COUNTY,AREA_SQMI,Pop_Density,CDC_SVI_Overall_Ranking,Lat,Long_,FIPS,4_22_Confirmed,4_22_Deaths
118,94042,68.5,42695.068,51346.932,91596.908,56331.158,12601.628,376.168,17773.938,658.294,3761.68,2445.092,11379.082,49654.176,76457.738,6241.448,5874.304,3304.296,1285.004,32900,25372.48,5737.76,19740,17634.4,55202.654,15893.098,1692.756,5172.31,11096.956,23040.29,34231.288,25673.466,8275.696,1880.84,18150.106,28089.585,64007.415,86142.472,7429.318,470.21,67558,26484,1324.2,2780.82,22378.98,19942.452,6541.548,67334.072,26707.928,13636.09,27366.222,27366.222,26237.718,1128.504,66675.778,3855.722,78970,19808,10465,36236,4797,28057.12,37163.84,3948,1158.08,27899.2,2684.64,6538.887,6078.402,79571.808,40269.6,12370.4,684.32,947.52,2.29,2.08,24815.699,15454.088,CALIFORNIA,Solano,821.7515515,533.6527801,0.5911,38.26827353,-121.9357113,6095,181,3
119,128670,69,58544.85,70125.15,126225.27,114516.3,1286.7,900.69,4374.78,386.01,4889.46,2444.73,11837.64,108468.81,111514.788,4172.322,4678.058,6068.832,2402.246,41294.511,33714.639,5290.119,37662.489,32846.112,71025.84,26120.01,1544.04,10422.27,11580.3,22903.26,43619.13,50567.31,5404.14,1029.36,18399.81,33294.436,93783.564,118505.07,9907.59,257.34,110636,18034,559.054,1442.72,16032.226,11902.44,6131.56,111685.56,16984.44,9264.24,43876.47,43876.47,42203.76,1672.71,84793.53,4889.46,82029,20339,9812,35111,4496,41768.253,57717.567,5290.119,1184.355,33319.854,3789.936,9149.616,8260.07,109541.236,59375.664,19581.336,789.57,789.57,2.01,1.65,32441.92,18074.784,CALIFORNIA,Sonoma,1575.871879,318.1204047,0.4035,38.52746429,-122.8862506,6097,192,2
120,94740,69.5,42822.48,51917.52,92845.2,78539.46,2368.5,852.66,5305.44,568.44,5210.7,1894.8,22358.64,62433.66,77049.924,6836.564,5727.932,2771.58,831.474,32282.811,24894.705,5567.848,21254.189,19112.709,54286.02,14874.18,1894.8,5115.96,24348.18,24537.66,29369.4,16579.5,8526.6,1705.32,13453.08,34875.75,58126.25,88581.9,5968.62,189.48,70155,24585,1155.495,1942.215,21487.29,16693.215,7891.785,64233.72,30506.28,19137.48,23400.78,23400.78,21790.2,1610.58,71339.22,6347.58,67320,19209,10767,28504,4949,24466.409,40259.824,6638.588,1499.036,23342.132,4764.793,10416.112,11067.119,71424.768,39028.473,14508.527,749.518,910.129,2.24,1.97,13322.658,20273.61,CALIFORNIA,Stanislaus,1496.015066,360.4916905,0.8675,37.55862499,-120.9970722,6099,236,4
121,19873,69.8,9161.453,10711.547,19197.318,14606.655,397.46,178.857,3378.41,99.365,536.571,675.682,2583.49,12798.212,16310.28,1514.526,1126.186,485.425,116.502,6702.102,5370.708,902.64,4580.898,4197.276,12142.403,3040.569,178.857,695.555,5067.615,4531.044,6577.963,3696.378,2205.903,417.333,3279.045,7119.325,12385.675,18263.287,1391.11,198.73,14754,5119,450.472,639.875,4023.534,3214.732,1904.268,14268.814,5604.186,4073.965,5147.107,5147.107,4948.377,198.73,14725.893,755.174,63124,19449,10018,35495,3909,5427.123,8394.552,1308.828,214.377,4885.539,710.829,1911.49,1950.5,15643.01,8541.231,2741.769,157.962,214.377,2.1,2.01,1099.798,9154.201,CALIFORNIA,Sutter,602.5301352,159.115693,0.8822,39.03417539,-121.6945899,6101,26,2
122,16298,70,7578.57,8719.43,16020.934,15010.458,146.682,342.258,211.874,0,309.662,277.066,1483.118,13853.3,14164.482,623.493,607.506,607.506,287.766,5552.4,4461.75,773.37,4362.6,3926.34,9452.84,2721.766,521.536,814.9,2379.508,5215.36,5720.598,2982.534,1010.476,407.45,3210.706,6088.568,10104.432,15434.206,831.198,32.596,15092,1206,34.974,55.476,1115.55,782.694,423.306,14831.18,1466.82,994.178,3911.52,3911.52,3748.54,162.98,12386.48,651.92,45311,19326,9864,24666,5673,4124.64,7822.935,1011.33,118.98,4084.98,674.22,1878.388,2072.704,12241.908,8050.98,1864.02,277.62,99.15,2,1.66,1602.84,6580.08,CALIFORNIA,Tehama,2949.135397,21.48867091,0.9624,40.12570935,-122.2370171,6103,1,1
123,71426,69.2,33141.664,38284.336,70140.332,58997.876,928.538,857.112,3214.17,71.426,6071.21,1285.668,26713.324,39212.874,57941.814,4799.502,4729.944,2086.74,765.138,25929.372,19487.292,4509.456,14333.628,13085.475,41141.376,9785.362,1357.094,4285.56,23284.876,16856.536,19999.28,11213.882,7428.304,1499.946,8285.416,26736.944,43255.056,66854.736,4356.986,214.278,51858,19568,763.152,1663.28,17141.568,10781.968,8786.032,43855.564,27570.436,18570.76,18427.908,18427.908,17499.37,928.538,52998.092,3642.726,63737,17794,8779,27895,3978,19769.133,30277.776,4710.771,2174.202,15138.888,4670.508,10918.752,8958.976,50114.272,30318.039,9944.961,926.049,1328.679,2.43,2.16,14737.77,11790.216,CALIFORNIA,Tulare,4824.376542,95.44798089,0.9417,36.22026558,-118.8020203,6107,441,25
124,18318,69.8,8939.184,9378.816,17969.958,17127.33,91.59,274.77,164.862,18.318,293.088,348.042,1080.762,16486.2,16643.924,467.324,323.532,557.194,323.532,6427.32,5423.756,676.56,4848.68,4408.916,11357.16,2967.516,164.862,805.992,1502.076,4890.906,7583.652,4341.366,476.268,146.544,3700.236,5457.636,12554.364,17072.376,1154.034,91.59,17180,1138,55.762,86.488,994.612,804.566,333.434,17383.782,934.218,457.95,4158.186,4158.186,4066.596,109.908,14159.814,439.632,67789,20009,9761,34079,5832,4465.296,9099.732,755.492,169.14,5006.544,642.732,1765.176,1350.9,14895.924,9235.044,2040.956,101.484,78.932,1.85,1.54,3237.96,4513.52,CALIFORNIA,Tuolumne,2220.88935,24.28396534,0.4688,38.02644018,-119.9525093,6109,2,0
125,173209,69.3,78983.304,94225.696,170437.656,147574.068,2944.553,1039.254,13510.302,346.418,5023.061,2771.344,37413.144,116916.075,144453.408,10731.798,9539.376,5791.764,1703.46,60962.842,49691.577,8428.946,37048.158,33225.729,104964.654,25461.723,2598.135,9872.913,25461.723,31350.829,57332.179,59064.269,12990.675,2078.508,26154.559,50808.696,120842.304,162296.833,10392.54,519.627,129053,44156,1589.616,2958.452,39607.932,32410.504,11745.496,124364.062,48844.938,27886.649,55426.88,55426.88,53001.954,2424.926,117782.12,7621.196,92196,21278,9824,36613,4961,54004.061,70469.909,5586.627,1470.165,42340.752,4508.506,12701.212,10469.918,148466.87,76252.558,21758.442,1568.176,1470.165,2.34,1.96,29958.518,21656.76,CALIFORNIA,Ventura,1842.466511,460.313387,0.4828,34.44465746,-119.0910613,6111,443,13
126,36137,69.3,16008.691,20128.309,35161.301,29162.559,795.014,361.37,3071.645,72.274,1734.576,975.699,6902.167,24500.886,31070.375,1739.941,1491.378,1171.797,426.108,12219.844,10029.292,1632.176,9256.156,8418.592,21356.967,6071.016,795.014,1915.261,6287.838,6576.934,8853.565,14454.8,2421.179,469.781,4770.084,10890.234,24698.766,33607.41,2276.631,252.959,27727,8410,361.63,967.15,7081.22,5920.64,2489.36,26705.243,9431.757,5673.509,10082.223,10082.223,9612.442,469.781,26054.777,1662.302,82404,19360,10705,43892,3587,10308.48,15205.008,1868.412,408.044,10287.004,1202.656,3380.955,2811.531,29396.514,15763.384,5712.616,257.712,322.14,2.06,1.84,4867.016,5751.928,CALIFORNIA,Yolo,1014.731949,211.8559489,0.6768,38.68278902,-121.9018288,6113,146,10
127,13076,68.3,6106.492,6969.508,12566.036,11193.056,353.052,183.064,496.888,26.152,313.824,509.964,1778.336,9807,11840.304,258.24,439.008,374.448,142.032,4823.91,3689.868,787.059,3639.09,3224.403,7427.168,2131.388,235.368,784.56,2419.06,2994.404,5217.324,2432.136,876.092,300.748,2680.58,4873.125,8121.875,12147.604,863.016,65.38,11295,1781,97.955,12.467,1670.578,1273.415,507.585,10931.536,2144.464,1268.372,3138.24,3138.24,3085.936,52.304,9937.76,209.216,49358,18863,10239,32309,3971,3774.498,6372.639,1125.579,194.649,4087.629,787.059,1494.425,1429.45,10071.125,6431.88,2031.12,211.575,194.649,2.08,1.72,3457.883,9720.762,CALIFORNIA,Yuba,632.0157094,119.4479803,0.942,39.26255932,-121.3535644,6115,16,1
