state,date,avg_daily_precip,avg_current_tmp,avg_daily_max_tmp,avg_daily_wind_speed,avg_daily_min_tmp,avg_daily_tmp
IN,2020-06-12,0.0027020202020202016,55.331792929293,70.60282828282867,7.085378787878775,49.03873737373719,59.691161616161985
IN,2020-06-13,0.050352941176470586,55.5257411764707,70.73842352941217,7.203670588235272,49.26051764705864,59.872729411765064
IN,2020-06-14,0.030878048780487805,54.99951219512203,69.91080487804916,7.212853658536566,48.79117073170714,59.252317073171085
IN,2020-06-15,0.009675000000000001,54.90327500000006,70.01940000000037,7.142049999999984,48.24252499999982,59.08842500000034
IN,2020-06-16,0.0018686868686868686,55.6097727272728,70.60383838383875,7.104545454545442,48.97598484848468,59.75936868686905
IN,2020-06-17,0.0012090680100755667,56.14773299748118,71.33612090680137,7.066977329974799,49.66166246851368,60.416876574307665
IN,2020-06-18,0.0027318295739348366,56.30654135338355,71.51298245614072,7.044987468671666,49.75177944862138,60.56075187969961
IN,2020-06-19,0.00700251889168766,56.93591939546607,72.06045340050416,7.022997481108301,50.24639798488648,61.11828715365273
IN,2020-06-20,0.00916243654822335,57.277791878172685,72.47065989847754,7.140583756345165,50.76060913705566,61.54048223350289
IN,2020-06-21,0.06330097087378643,56.820461165048656,71.80194174757321,7.070873786407749,50.96310679611632,61.21322815534018
IN,2020-06-22,0.23608597285067862,56.578529411764876,70.935497737557,7.144796380090471,50.4527375565609,60.65527149321306
IN,2020-06-23,0.7232723112128143,56.40205949656766,70.96107551487457,7.239313501144138,50.484530892448326,60.619130434782996
IN,2020-06-24,0.019474999999999968,56.08242500000008,70.35390000000035,7.134224999999986,50.03829999999983,60.152600000000355
IN,2020-06-25,0.049699248120300764,56.18576441102764,70.97102756892266,7.101027568922292,49.768621553884536,60.32781954887254
IN,2020-06-26,0.01904522613065326,57.2856783919599,71.7196984924627,7.218994974874357,50.524321608040026,61.190929648241564
IN,2020-06-27,0.39310513447432743,57.24723716381431,71.43088019559941,7.200415647921741,51.20909535452304,61.2888997555016
IN,2020-06-28,0.6657040572792362,57.440429594272224,71.06393794749442,7.075560859188524,51.46501193317404,61.29534606205288
IN,2020-06-29,0.12158273381294966,57.81290167865721,71.88573141486849,7.080023980815328,51.756330935251626,61.808705035971606
IN,2020-06-30,0.3016627634660425,57.53911007025776,72.06997658079666,7.111756440281007,51.752599531615736,61.78913348946171
IN,2020-07-01,0.15138613861386144,57.450495049505065,71.93623762376276,5.381064356435678,51.272351485148334,61.55962871287166
IN,2020-07-02,0.004625322997416021,57.641524547803684,72.3702325581399,5.366795865633117,51.33826873384996,61.801136950904755
IN,2020-07-03,0.00203125,57.68992187500007,72.4642708333337,5.342734375000043,51.14234374999983,61.789036458333676
IN,2020-07-04,0.0036175710594315257,57.964806201550466,72.73085271317866,5.350051679586605,51.55162790697656,62.10403100775231
IN,2020-07-05,0.06788659793814433,57.789407216494915,72.55206185567047,5.3276804123711745,51.44175257731941,61.94770618556738
IN,2020-07-06,0.025839793281653742,57.82276485788122,72.63963824289443,5.324005167958698,51.45098191214453,61.993514211886676
IN,2020-07-07,0.04725888324873096,57.80472081218284,72.71071065989885,5.3150000000000395,51.658248730964296,62.0796700507618
IN,2020-07-08,0.09563725490196077,57.754558823529536,72.6933088235298,5.334583333333367,51.821323529411586,62.10897058823565
IN,2020-07-09,0.1375818639798488,57.68274559193964,72.76070528967291,5.380906801007593,51.562972292191255,62.029521410579704
IN,2020-07-10,0.1427518427518428,57.71167076167089,72.03371007371047,5.517960687960717,51.65685503685486,61.79990171990213
IN,2020-07-11,0.12435897435897439,56.89648717948727,71.50512820512859,5.453025641025678,50.729487179486995,61.05374358974393
IN,2020-07-12,0.48251815980629503,56.33719128329311,71.29990314770015,5.41317191283296,50.43489104116205,60.708014527845414
IN,2020-07-13,0.10155875299760196,56.07076738609126,70.82810551558794,5.394220623501227,49.87419664268567,60.272206235012376
IN,2020-07-14,0.002673521850899743,56.32437017994865,71.25488431876643,5.32323907455017,49.82714652956281,60.49493573264814
IN,2020-07-15,0.016753246753246753,57.064103896103965,71.96610389610424,5.419532467532508,50.497818181818005,61.20353246753283
IN,2020-07-16,0.538429561200924,57.30385681293319,71.38875288683646,5.439538106235587,51.00512702078503,61.22667436489646
IN,2020-07-17,0.01669975186104215,56.99540942928052,71.29369727047185,5.33052109181145,50.73305210918096,61.00803970223363
IN,2020-07-18,0.0160880829015544,58.17126943005189,72.45168393782419,5.467564766839417,51.52888601036253,62.0588082901558
IN,2020-07-19,0.04627249357326478,58.55208226221089,72.46519280205693,5.5244730077121185,52.13912596401011,62.377249357326825
IN,2020-07-20,0.40284360189573465,57.206848341232366,71.65045023696723,5.384597156398132,51.35483412322256,61.403317535545405
LA,2020-03-01,0.006571428571428571,64.27914285714273,78.3431428571427,7.547828571428564,57.88388571428564,68.03662857142847
LA,2020-03-02,0.014130434782608687,67.31298913043462,78.79293478260854,7.39092391304347,61.71108695652162,70.05010869565203
LA,2020-03-03,0.0229100529100529,67.85285714285699,80.18862433862417,7.092804232804226,63.8160846560845,71.35222222222207
LA,2020-03-04,0.3587634408602153,66.03096774193533,79.17741935483855,7.565161290322573,61.696774193548265,69.854946236559
LA,2020-03-05,0.7314925373134327,63.6316915422884,78.20746268656697,7.367661691542282,59.6264676616914,68.22422885572122
LA,2020-03-06,0.015769230769230765,62.10758241758231,77.54587912087895,7.351868131868126,57.170109890109806,66.88494505494491
LA,2020-03-07,0.007865168539325841,60.63657303370778,75.94719101123582,7.05606741573033,55.39640449438197,65.30943820224707
LA,2020-03-08,0.006802325581395348,61.70552325581385,76.7284883720929,7.2335465116279005,55.62372093023252,66.01988372093011
LA,2020-03-09,0.023651685393258418,65.81353932584257,78.01151685393243,7.459438202247183,59.408314606741484,68.70202247190997
LA,2020-03-10,0.15637837837837848,66.94281081081067,79.76162162162146,7.043189189189183,62.71805405405393,70.6295675675674
LA,2020-03-11,0.1244021739130435,67.09505434782595,81.0997282608694,7.258423913043472,62.880217391304214,71.31364130434768
LA,2020-03-12,0.00806818181818182,67.75198863636349,81.50284090909075,7.356249999999992,63.442045454545344,71.82034090909079
LA,2020-03-13,0.015144508670520227,67.92236994219637,81.26502890173394,7.15612716763005,63.86797687861261,71.86768786127156
LA,2020-03-14,0.029534883720930227,67.63296511627895,81.12441860465101,7.155639534883714,63.418837209302225,71.61110465116265
LA,2020-03-15,0.011130952380952384,66.47267857142845,80.95416666666652,7.079880952380943,62.198095238095156,70.90232142857128
LA,2020-03-16,0.027528089887640435,64.91252808988752,79.57134831460658,7.013258426966284,60.56359550561788,69.43297752808975
LA,2020-03-17,0.3029050279329608,66.92631284916185,80.47625698324006,6.973519553072619,61.811173184357436,70.72050279329596
LA,2020-03-18,0.23486338797814202,68.39863387978127,81.66612021857907,7.2804371584699386,63.58928961748621,72.11398907103809
LA,2020-03-19,0.02651933701657458,69.7648066298341,82.35801104972359,7.556740331491705,65.37613259668494,73.25613259668496
LA,2020-03-20,0.18233333333333335,68.49838888888873,81.71249999999984,7.2522777777777705,64.37888888888875,72.35916666666654
LA,2020-03-21,0.48808988764044964,65.24882022471897,78.5463483146066,7.380842696629205,61.534831460674056,69.30926966292122
LA,2020-03-22,0.39685393258426965,65.70561797752796,78.16741573033693,7.17786516853932,60.72516853932575,69.06797752808974
LA,2020-03-23,0.15494565217391298,68.19907608695634,80.29347826086939,7.1672282608695586,63.019565217391175,71.29999999999984
LA,2020-03-24,0.05152173913043476,68.95559782608679,81.83152173913027,7.362989130434775,64.42173913043463,72.55320652173897
LA,2020-03-25,0.006534090909090909,68.28727272727258,82.98068181818165,6.9699999999999935,64.4065909090908,72.87522727272713
LA,2020-03-26,0.0061403508771929825,68.84146198830395,83.70672514619866,7.276549707602332,63.97169590643264,73.25046783625719
LA,2020-03-27,0.00603448275862069,69.93224137931016,84.1005747126435,7.392586206896545,65.32643678160906,74.07356321839065
LA,2020-03-28,0.020177514792899406,69.68189349112413,83.3606508875738,7.450887573964491,64.84568047337267,73.55112426035491
LA,2020-03-29,0.14291208791208793,66.64873626373613,81.95109890109872,7.057362637362629,61.8975824175823,71.32538461538445
LA,2020-03-30,0.034180790960451964,67.32892655367216,80.49548022598854,7.2185875706214615,62.57242937853097,71.03242937853095
LA,2020-03-31,0.22364130434782603,66.53864130434765,79.85527173913026,7.399999999999992,61.39059782608683,70.22744565217378
LA,2020-04-01,0.02022471910112359,62.89573033707854,79.05702247190996,6.100842696629209,57.58112359550554,67.88910112359537
LA,2020-04-02,0.011771428571428572,64.93714285714273,79.28857142857129,6.257028571428568,59.11314285714278,68.95297142857129
LA,2020-04-03,0.035536723163841814,66.49853107344619,80.18474576271171,6.203615819209036,61.41988700564962,70.37107344632756
LA,2020-04-04,0.07943181818181817,66.55642045454532,80.02965909090894,6.201136363636359,62.25869318181808,70.52596590909077
LA,2020-04-05,0.22574468085106394,66.50148936170197,80.28882978723387,6.2097872340425555,62.14297872340411,70.59835106382964
LA,2020-04-06,0.015988023952095805,67.65604790419151,81.31257485029927,6.285568862275443,62.715688622754406,71.52772455089807
LA,2020-04-07,0.024942528735632182,69.54954022988491,82.13247126436767,6.3970114942528715,64.56712643678149,72.89293103448263
LA,2020-04-08,0.015057471264367813,70.60655172413777,83.11206896551707,6.448965517241379,66.37241379310332,74.08097701149411
LA,2020-04-09,0.07798850574712646,69.35201149425272,83.25316091954006,6.37574712643678,65.12459770114931,73.47810344827572
LA,2020-04-10,0.35562841530054645,65.91579234972664,80.57076502732224,6.498743169398911,61.49573770491792,70.39770491803264
LA,2020-04-11,0.013684210526315787,65.01187134502912,79.76520467836244,6.487953216374265,59.176374269005784,69.20380116959053
LA,2020-04-12,0.1390229885057471,68.66844827586193,81.42816091954008,6.845747126436785,62.096551724137846,71.71362068965503
LA,2020-04-13,0.4568421052631577,64.27778947368407,79.43605263157876,6.517842105263164,59.903999999999876,69.02842105263143
LA,2020-04-14,0.012988505747126436,61.915862068965396,77.19568965517227,6.6927011494252895,57.664827586206826,66.79591954022975
LA,2020-04-15,0.010574712643678161,61.14879310344818,76.91982758620675,6.456264367816091,56.578620689655125,66.1846551724137
LA,2020-04-16,0.010952380952380953,62.100059523809435,78.33511904761892,6.328154761904754,56.346904761904725,67.032857142857
LA,2020-04-17,0.023491124260355028,65.2839053254437,80.07869822485193,6.2755029585798745,58.36852071005911,69.22165680473358
LA,2020-04-18,0.17016759776536308,66.88519553072612,79.86787709497192,6.340614525139664,61.966256983240115,70.47446927374288
LA,2020-04-19,0.3807777777777777,68.35855555555538,80.09999999999985,6.521111111111112,63.40888888888877,71.35527777777764
LA,2020-04-20,0.7533684210526315,66.30757894736826,80.75236842105244,6.176947368421056,61.93957894736827,70.70073684210513
LA,2020-04-21,0.017885714285714283,66.23279999999987,81.73742857142841,6.094685714285709,61.14188571428562,70.92365714285702
LA,2020-04-22,0.23982456140350877,68.17046783625717,81.76842105263144,6.686900584795322,62.69029239766073,71.87210526315775
LA,2020-04-23,0.921,69.33252631578931,81.69394736842087,6.533631578947375,63.44610526315774,72.35647368421039
LA,2020-04-24,0.10779661016949152,66.90553672316368,82.53502824858741,6.285028248587567,61.24474576271177,71.49836158192076
LA,2020-04-25,0.19927374301675974,67.78659217877079,82.12988826815626,6.47368715083799,62.90614525139653,71.97916201117305
LA,2020-04-26,0.020514285714285718,66.38102857142844,81.88028571428556,6.268399999999996,61.16388571428562,71.03542857142843
LA,2020-04-27,0.019529411764705882,66.30882352941165,81.86117647058808,6.435941176470583,60.71199999999992,70.89417647058809
LA,2020-04-28,0.19056179775280904,66.97471910112344,81.36910112359534,6.5092696629213505,62.18719101123585,71.228426966292
LA,2020-04-29,1.8515306122448976,66.22775510204063,80.97244897959163,6.5274489795918464,61.898775510203926,70.76678571428559
LA,2020-04-30,0.17267759562841536,65.32338797814192,80.66366120218562,6.26775956284153,59.82360655737695,69.85628415300533
LA,2020-05-01,0.011783439490445859,66.15573248407634,81.85923566878968,6.164968152866253,59.88050955414008,70.6433121019107
LA,2020-05-02,0.010797546012269938,67.57773006134958,82.58006134969311,6.355889570552157,61.62503067484654,71.80349693251522
LA,2020-05-03,0.011139240506329114,68.6287341772151,83.01202531645555,6.37506329113925,63.362278481012574,72.72689873417711
LA,2020-05-04,0.01609756097560976,69.22158536585351,83.50524390243888,6.3723780487804955,64.19585365853649,73.32396341463404
LA,2020-05-05,0.032075471698113214,69.5527044025156,83.5276729559747,6.281320754716991,64.78767295597476,73.57477987421372
LA,2020-05-06,0.17934523809523806,67.25821428571417,82.9508928571427,6.417380952380959,62.19285714285705,72.02011904761893
LA,2020-05-07,0.03490683229813664,66.33559006211172,81.7425465838508,6.419875776397526,60.800496894409875,70.87031055900609
LA,2020-05-08,0.4459281437125748,67.7812574850298,81.05568862275435,6.64550898203593,62.22922155688613,71.32736526946094
LA,2020-05-09,1.0742045454545452,65.0741477272726,79.00710227272712,6.539318181818181,60.79090909090899,69.28187499999987
LA,2020-05-10,0.011304347826086955,64.78652173913035,79.01801242236012,6.189192546583862,59.67850931677014,68.92906832298125
LA,2020-05-11,0.018192771084337356,65.86246987951797,81.2087349397589,6.216024096385551,60.07614457831318,70.31686746987937
LA,2020-05-12,0.013496932515337425,67.26938650306737,81.81042944785261,6.47331288343559,61.495460122699306,71.33846625766859
LA,2020-05-13,0.04122699386503067,68.79515337423301,82.37484662576674,6.486319018404915,63.826748466257584,72.60361963190171
LA,2020-05-14,0.24408536585365853,69.52591463414623,82.41310975609743,6.562621951219517,65.19756097560966,73.16878048780477
LA,2020-05-15,1.4203571428571433,69.32047619047604,82.67619047619031,6.396071428571435,65.12238095238084,73.20970238095224
LA,2020-05-16,0.18192982456140358,70.24046783625714,82.29210526315772,6.679883040935671,65.89426900584783,73.49023391812851
LA,2020-05-17,0.3347674418604651,69.43558139534869,81.63343023255798,6.572209302325581,65.377441860465,72.83767441860451
LA,2020-05-18,0.3018333333333332,67.9799444444443,82.65749999999983,6.401166666666664,63.34977777777765,72.38072222222209
LA,2020-05-19,0.011036585365853658,69.36158536585354,84.22347560975595,6.3206097560975705,64.03439024390235,73.64579268292668
LA,2020-05-20,0.07319018404907975,69.53355828220849,82.44294478527593,6.232453987730072,65.1995092024539,73.18441717791397
LA,2020-05-21,0.1771005917159763,69.99295857988152,83.47041420118327,6.270118343195273,65.17041420118333,73.7692307692306
LA,2020-05-22,0.017019867549668877,71.31668874172176,85.10761589403961,6.465298013245043,66.32185430463569,75.1658278145694
LA,2020-05-23,0.15327044025157235,71.07069182389927,84.61113207547156,6.406540880503155,66.79540880503136,74.99031446540866
LA,2020-05-24,0.5133727810650889,70.26905325443772,84.12881656804718,6.350887573964504,65.66289940828392,74.2653846153845
LA,2020-05-25,0.29814371257485023,70.23299401197593,83.7535928143711,6.542335329341321,66.14467065868253,74.20616766467055
LA,2020-05-26,0.40925287356321827,69.40580459770102,82.80804597701135,6.139080459770121,65.50896551724126,73.38931034482746
LA,2020-05-27,0.40892045454545456,68.81812499999987,83.03920454545438,6.170795454545459,64.29454545454534,73.02465909090893
LA,2020-05-28,0.06432926829268287,68.64384146341452,83.12713414634132,6.142317073170741,64.05585365853649,72.9554878048779
LA,2020-05-29,0.07339181286549708,69.48169590643262,83.48491228070158,6.14035087719299,64.63502923976597,73.49771929824547
LA,2020-05-30,0.03999999999999999,70.20406451612892,84.27258064516116,6.172451612903237,65.12645161290314,74.17832258064503
LA,2020-05-31,0.07349693251533744,70.1380981595091,84.42730061349678,6.235337423312894,65.36588957055207,74.28834355828208
LA,2020-06-01,0.01818791946308725,70.01335570469789,84.16496644295289,5.601812080536925,65.28812080536906,74.11583892617436
LA,2020-06-02,0.01519736842105263,70.58782894736834,84.58059210526301,5.532500000000014,66.0763157894736,74.6611184210525
LA,2020-06-03,0.1066233766233766,70.94487012987001,85.16461038961023,5.659805194805211,66.63870129870122,75.16415584415569
LA,2020-06-04,0.2567924528301887,70.86389937106908,85.18930817610048,5.645157232704418,66.20603773584897,75.04522012578603
LA,2020-06-05,0.04959731543624161,71.68597315436233,86.05134228187907,5.6350335570469925,66.78241610738247,75.80859060402669
LA,2020-06-06,0.09383561643835617,71.51034246575333,85.84965753424643,6.027876712328781,66.78136986301364,75.66760273972591
LA,2020-06-07,0.34727272727272734,71.56448051948043,84.02532467532454,6.468961038961057,67.41714285714278,75.02201298701287
LA,2020-06-08,0.9776190476190478,71.79624999999984,84.0413690476189,6.3322023809523955,67.77928571428559,75.18517857142845
LA,2020-06-09,0.3892261904761904,72.75708333333317,85.20208333333316,6.211071428571444,68.3983333333332,76.13261904761892
LA,2020-06-10,0.3798816568047339,70.43946745562116,85.08905325443772,5.872603550295875,65.94485207100581,74.81467455621289
LA,2020-06-11,0.20705128205128207,68.9898717948717,84.4830128205127,5.892756410256426,63.777948717948654,73.5929487179486
LA,2020-06-12,0.013357664233576642,69.21583941605836,84.4514598540145,6.0661313868613265,63.88000000000001,73.66854014598529
LA,2020-06-13,0.013125,70.09270833333326,85.12777777777768,5.885069444444458,64.58638888888885,74.39645833333323
