state,date,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_ethnicity_hispanic,deaths_other,deaths_unknown
MD,20200715,75016.0,605072.0,1711.0,611.0,,11625.0,,,5238.0,69,3341.0,296,11625.0,1784,13472,,,14114,,,21784.0,19822.0,1458.0,,,,3583.0,12975.0,1431.0,1354.0,376.0,130.0,130.0,,,,376.0,36.0,134.0
ME,20200715,3578.0,124353.0,60.0,28.0,14.0,373.0,,,3079.0,5,114.0,49,373.0,78,13358,4415.0,122948.0,13436,,,826.0,,87.0,7.0,13.0,22.0,110.0,598.0,104.0,2.0,,,,,,,0.0,1.0,95.0
MI,20200715,78913.0,1289006.0,3986.0,1663.0,1441.0,,,,53867.0,169,6330.0,0,,1726,33084,98539.0,1289006.0,34133,,,21844.0,1211.0,1647.0,339.0,280.0,5277.0,4702.0,13241.0,3290.0,2500.0,36.0,80.0,80.0,27.0,19.0,111.0,126.0,122.0,331.0
MN,20200715,43742.0,746755.0,606.0,263.0,,4495.0,1353.0,,38179.0,39,1558.0,102,4495.0,973,28331,,,28843,,,8896.0,603.0,2980.0,350.0,94.0,839.0,5177.0,6605.0,1215.0,149.0,9.0,65.0,65.0,29.0,3.0,22.0,62.0,23.0,332.0
MO,20200715,29714.0,488233.0,1043.0,,144.0,,,,,44,1102.0,0,,1134,18591,34290.0,611600.0,19725,,,7541.0,,,,,855.0,1913.0,6007.0,643.0,380.0,,,,,,12.0,27.0,29.0,106.0
MP,20200715,36.0,10734.0,,,,4.0,,,29.0,1,2.0,4,4.0,4,2547,,,2547,,,,,,,,,,36.0,,,,,,,,,,,2.0
MS,20200715,38567.0,318290.0,1099.0,240.0,132.0,3629.0,,,25932.0,44,1290.0,135,3629.0,1904,16167,,,16450,,,17937.0,1693.0,124.0,1128.0,,,2531.0,4344.0,534.0,641.0,22.0,0.0,0.0,74.0,,,22.0,11.0,64.0
MT,20200715,2096.0,121662.0,37.0,,,145.0,,,915.0,3,34.0,9,145.0,144,6213,,,6269,,,12.0,,5.0,204.0,,,26.0,648.0,17.0,,,,,10.0,,,,,7.0
NC,20200715,91266.0,1193371.0,1142.0,,,,,,67124.0,42,1568.0,0,,2462,32404,,,34360,,,14760.0,,1168.0,698.0,193.0,,10358.0,29590.0,873.0,496.0,,22.0,22.0,23.0,4.0,,151.0,96.0,56.0
ND,20200715,4565.0,121999.0,43.0,,,284.0,,,3760.0,5,81.0,8,284.0,134,2314,,,2379,,,,,,,,,,4565.0,,,,,,,,,,,87.0
NE,20200715,21717.0,198026.0,211.0,81.0,56.0,1442.0,,,16205.0,17,288.0,851,1442.0,641,5214,,,5662,,,1300.0,,1200.0,245.0,33.0,,1600.0,16025.0,220.0,22.0,,17.0,17.0,8.0,0.0,,67.0,10.0,195.0
NH,20200715,6091.0,131018.0,126.0,,,665.0,191.0,,5101.0,19,392.0,76,665.0,165,4540,,,4596,,,314.0,611.0,162.0,,,,269.0,1954.0,326.0,8.0,11.0,3.0,3.0,,,,11.0,13.0,143.0
NJ,20200715,176278.0,1566069.0,8270.0,2051.0,1705.0,20774.0,,,31400.0,1877,15607.0,16373,20774.0,4305,112073,,,113486,,,28703.0,50981.0,8552.0,,,,19956.0,138532.0,7249.0,2451.0,2700.0,738.0,738.0,,,,2700.0,438.0,2959.0
NM,20200715,15514.0,414492.0,223.0,,18.0,2261.0,,,6429.0,16,551.0,253,2261.0,319,10566,,,10736,,,291.0,5585.0,109.0,6789.0,,,,1037.0,98.0,4.0,59.0,1.0,1.0,236.0,,,59.0,,410.0
NV,20200715,30468.0,333957.0,1051.0,251.0,124.0,,,,826.0,19,618.0,0,,1104,8518,,,8957,,,1299.0,6662.0,1187.0,97.0,,,1508.0,15040.0,270.0,68.0,89.0,82.0,82.0,4.0,,,89.0,12.0,350.0
NY,20200715,404006.0,4444519.0,18825.0,5225.0,2425.0,89995.0,,,71782.0,951,25003.0,3424,89995.0,11571,78507,,,79303,,,,,,,,,,404006.0,8569.0,6324.0,6658.0,1694.0,1694.0,,,,6658.0,1805.0,7929.0
OH,20200715,69311.0,993312.0,1078.0,424.0,281.0,9209.0,2259.0,,47303.0,138,3075.0,160,9209.0,1525,41626,,,43151,,,18416.0,,1986.0,83.0,133.0,2210.0,4920.0,8653.0,2349.0,592.0,,33.0,33.0,1.0,1.0,37.0,66.0,20.0,90.0
OK,20200715,22813.0,424512.0,561.0,234.0,,2170.0,,,17366.0,21,432.0,89,2170.0,1075,23009,24954.0,424512.0,23867,,,1700.0,,1473.0,1595.0,,148.0,905.0,4418.0,325.0,30.0,,8.0,8.0,35.0,,6.0,17.0,11.0,23.0
OR,20200715,12805.0,292651.0,321.0,96.0,69.0,1254.0,,69.0,3129.0,11,244.0,66,1254.0,397,10479,,292651.0,10755,,,543.0,509.0,438.0,283.0,350.0,321.0,4209.0,2100.0,184.0,6.0,,9.0,9.0,3.0,6.0,2.0,30.0,19.0,25.0
PA,20200715,97665.0,870984.0,2800.0,,685.0,1145.0,,,74436.0,554,6957.0,241,1145.0,1989,22775,,,23901,,,13200.0,,1400.0,,,,879.0,51386.0,4925.0,1469.0,,151.0,151.0,,,,412.0,335.0,2173.0
PR,20200715,10379.0,255766.0,254.0,24.0,11.0,,,,,9,171.0,0,,669,79406,3966.0,253922.0,79467,,,,,,,,,,10379.0,,,,,,,,,,,171.0
RI,20200715,17640.0,158235.0,352.0,89.0,62.0,2075.0,,,1707.0,32,987.0,331,2075.0,419,6413,25734.0,271199.0,6588,,,1940.0,6717.0,,,,447.0,597.0,6979.0,656.0,51.0,85.0,,,,,0.0,85.0,13.0,194.0
SC,20200715,62245.0,463738.0,1560.0,,,3744.0,,,23849.0,41,998.0,346,3744.0,2280,14889,77107.0,448876.0,16493,,,14994.0,309.0,454.0,103.0,,,4089.0,22260.0,457.0,410.0,,9.0,9.0,2.0,1.0,,36.0,28.0,116.0
SD,20200715,7652.0,85891.0,106.0,,,752.0,,,6663.0,6,111.0,18,752.0,249,3875,,,3960,,,987.0,1130.0,716.0,1236.0,,,768.0,0.0,,,,,,,,,,,111.0
TN,20200715,69061.0,1028612.0,1282.0,,,3434.0,,,39857.0,27,783.0,119,3434.0,3314,54291,80368.0,1016685.0,54879,,,14151.0,,741.0,91.0,57.0,,10575.0,14342.0,434.0,280.0,,13.0,13.0,0.0,1.0,,74.0,50.0,23.0
TX,20200715,282365.0,2359834.0,10569.0,,,,,,149276.0,110,3432.0,0,,10745,66812,,,76577,,,2989.0,10534.0,651.0,,,,135.0,261534.0,315.0,94.0,211.0,14.0,14.0,,,,211.0,5.0,2797.0
UT,20200715,30891.0,401189.0,289.0,88.0,,1913.0,515.0,214.0,18593.0,10,233.0,73,1913.0,867,9654,,,10250,,,775.0,12519.0,684.0,701.0,1206.0,,3860.0,3377.0,118.0,5.0,54.0,11.0,11.0,21.0,13.0,,54.0,19.0,128.0
VA,20200715,73527.0,771455.0,1625.0,469.0,302.0,10608.0,145.0,108.0,9527.0,57,1992.0,1284,10608.0,1615,42569,,,43133,,,11411.0,23832.0,2311.0,87.0,,256.0,12452.0,17826.0,1071.0,465.0,220.0,115.0,115.0,2.0,,1.0,220.0,176.0,186.0
VI,20200715,243.0,4637.0,3.0,,,,,,112.0,1,6.0,0,,37,553,,,590,,,,,,,,,,249.0,,,,,,,,,,,6.0
VT,20200715,1318.0,77040.0,77.0,2.0,0.0,50.0,,,1104.0,5,56.0,18,50.0,70,1689,,,1691,,,146.0,17.0,53.0,2.0,,0.0,25.0,77.0,53.0,,,2.0,2.0,,,,1.0,5.0,2.0
WA,20200715,42304.0,675930.0,655.0,196.0,96.0,4788.0,,,,73,1438.0,3125,4788.0,1438,21168,,,22269,,,1649.0,13279.0,1640.0,483.0,886.0,660.0,725.0,12768.0,933.0,48.0,184.0,115.0,115.0,30.0,14.0,28.0,184.0,31.0,147.0
WI,20200715,42197.0,686299.0,748.0,190.0,348.0,3923.0,810.0,,29923.0,22,834.0,337,3923.0,981,15968,,,16474,,,6752.0,,1447.0,384.0,,,4261.0,4392.0,582.0,197.0,,24.0,24.0,10.0,,0.0,98.0,11.0,14.0
WV,20200715,4557.0,213347.0,108.0,44.0,27.0,164.0,73.0,50.0,2999.0,6,97.0,164,164.0,246,6073,,,6097,,,324.0,,,,,,627.0,6.0,58.0,3.0,,,,,,,,,56.0
WY,20200715,1985.0,40929.0,19.0,,,131.0,,,1506.0,4,22.0,11,131.0,147,2981,1780.0,57566.0,2994,,,20.0,255.0,9.0,346.0,6.0,,78.0,453.0,9.0,0.0,2.0,0.0,0.0,9.0,,,2.0,0.0,17.0
