state,et_total_population,em_total_pop_median_age,e_total_pop_race_white,e_total_pop_race_black,e_total_pop_race_native_pop,e_total_pop_race_asian,e_total_pop_race_pacific_islander,e_total_pop_race_other_race,e_total_pop_race_two_or_more_races,e_total_pop_race_hispanic,e_total_pop_in_households_householder_parent,e_total_pop_over_30_responsible_for_grandchildren_live_together_and_responsible,e_total_households_type_nonfamily_householder_living_alone,e_total_housing_units_more_than_one_occupant_per_room,e_total_pop_poverty_status_below_100_percent,em_total_housing_units_avg_household_size_owned,e_total_pop_over_16_employment_status_in_civilian_labor_force_employed,em_total_households_with_income_mean_earnings,cdc_svi_overall_ranking,pop_density,et_over_60_population,em_over_60_pop_median_age,e_over_60_race_white,e_over_60_race_black,e_over_60_race_native_pop,e_over_60_race_asian,e_over_60_race_pacific_islander,e_over_60_race_other_race,e_over_60_race__two_or_more_races,e_over_60_race_hispanic,e_over_60_households_type_family,e_total_pop_over_60_responsible_for_grandchildren_live_together,e_pop_over_60_disability_status_yes,e_over_60_pop_employment_status_in_civilian_labor_force,e_over_60_pop_poverty_status_below_100_percent,em_over_60_housing_units_avg_household_size_owned,date,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_unknown
HI,1421954,163.4,355491.69000000006,26578.243000000002,3288.0739999999996,536749.432,143105.323,15188.782,341646.36,148182.65500000003,28767.574999999997,12364.679999999998,108902.746,41322.596000000005,137226.704,12.35,677705.44,358319.0,0.43672500000000003,487.75639047,335853,276.29999999999995,95432.022,2283.8669999999997,596.2270000000001,175835.49899999995,22371.735999999997,1308.967,38095.074,11246.342,115217.60800000001,37373.883,94794.80800000002,107434.224,28405.147,10.64,20200715,1264.0,96293.0,,,,133.0,6.0,2.0,921.0,3,22.0,16,133.0,50,2978,628.0,27632.0,2978,,,10.0,,340.0,,346.0,166.0,34.0,365.0,,,,,,,,,,22.0
IA,2096240,832.4,1839739.3990000002,100333.85199999998,7456.265,64337.19299999999,2454.092,29682.294999999995,52489.45500000001,139797.818,13003.438999999998,10393.997000000003,240219.345,14758.519999999999,247947.676,55.93000000000001,1089757.55,1636092.0,0.3493318181818182,160.26865911181815,431263,1533.1,412402.13899999997,9134.266,917.1899999999998,5233.779,71.199,1666.6789999999999,1905.0649999999998,7688.145,146309.73400000003,12450.597,114578.047,135893.033,29779.362,40.48,20200715,36291.0,351021.0,417.0,164.0,109.0,193.0,,,27177.0,19,762.0,27,193.0,758,9740,,,10490,,,3269.0,345.0,2179.0,363.0,788.0,,4785.0,6718.0,609.0,38.0,,32.0,32.0,7.0,15.0,,72.0,77.0
ID,1221432,333.2,1097335.892,9624.191,16753.224,20130.605000000003,1919.2279999999998,39827.283,35491.658,142112.63400000002,11545.509999999998,7440.433999999999,120868.25600000001,10409.018999999998,155474.821,24.689999999999998,565905.729,613215.0,0.42204444444444444,131.51000674666665,249182,622.9,237226.36700000003,769.1229999999998,2478.84,3112.7999999999997,233.11299999999997,3005.1339999999996,2487.6699999999996,9728.294,88221.333,10593.822999999999,74970.983,66664.117,22033.069000000003,17.86,20200715,11718.0,122196.0,129.0,33.0,,510.0,151.0,,4393.0,6,103.0,25,510.0,577,8295,,,8330,,,165.0,,111.0,101.0,43.0,442.0,1371.0,4151.0,101.0,1.0,,2.0,2.0,1.0,2.0,,1.0,4.0
IL,12167187,2075.2999999999997,8572280.298,1806206.8659999992,32354.359000000004,687349.6469999998,1402.1319999999998,756726.8609999996,311136.6559999999,2159845.63,155862.93100000004,73613.96900000001,1340581.9799999993,117811.28900000003,1549266.410000001,131.65999999999997,5934295.3429999985,3937915.0,0.39796730769230765,353.7147690003846,2501082,3628.7999999999997,1982539.7250000003,316891.9259999999,5839.538,115419.97,126.30900000000001,60548.157000000014,20518.581000000002,190359.51999999993,847789.4359999998,130476.22600000002,695509.05,745707.9000000003,222937.14699999997,97.85999999999999,20200715,157825.0,1922908.0,5036.0,1290.0,821.0,,,,,198,7427.0,0,,4014,37940,,,38894,,,26330.0,49483.0,4373.0,228.0,390.0,,5827.0,36731.0,3219.0,1998.0,1491.0,346.0,346.0,512.0,8.0,,52.0,313.0
IN,5901404,2056.600000000001,4838958.267,612759.044,14126.088000000002,142434.712,2354.581,139050.59100000001,153067.02500000008,432424.06799999997,52066.11800000001,49558.406,649917.06,39480.366000000016,814596.6760000001,137.45000000000002,2829644.5140000004,3801022.0,0.39650566037735846,274.6448099583019,1224457,3678.8000000000006,1098744.814,90863.97200000001,2398.507,13734.874,140.30499999999998,9209.439,9154.641,30358.11499999999,423040.879,48860.77500000001,380422.28099999996,357334.503,95011.47600000001,101.36000000000003,20200715,53370.0,533219.0,1558.0,924.0,507.0,7686.0,1634.0,,39571.0,164,2785.0,4389,7686.0,949,13115,,,13540,,,6311.0,1580.0,748.0,,,,9259.0,12322.0,1682.0,371.0,5.0,13.0,13.0,,,,344.0,378.0
KS,2103379,589.1,1732036.5080000001,152195.72,16882.401,76226.791,795.2370000000001,47518.826,77729.26899999999,234755.649,15871.238,12846.814999999999,233244.802,16463.534,248446.23100000003,41.44,1047371.7170000002,1145720.0,0.43114375,262.17435684062497,421099,1115.5,379875.301,22494.38,2017.418,8256.25,171.104,4006.343,4322.488,16366.273000000001,144738.80299999999,15859.195000000002,123115.50700000001,135586.762,31327.908,30.470000000000002,20200715,20933.0,218441.0,,65.0,21.0,1393.0,418.0,160.0,948.0,17,299.0,50,1393.0,1447,11949,,,13396,,,1585.0,,837.0,143.0,,,1017.0,3861.0,207.0,64.0,,9.0,9.0,2.0,,,9.0,11.0
KY,3139622,1365.3999999999996,2638368.937,318153.91799999995,7204.840000000001,58037.060000000005,2097.541,36002.42399999999,81254.229,130694.914,29764.351,33460.56100000001,355636.04600000015,22689.91499999999,489331.92000000004,89.86000000000001,1464021.4270000001,2419046.0,0.5373657142857144,285.12704415285714,661135,2427.1000000000004,599007.6639999999,49040.876,926.2200000000001,5984.448000000001,71.796,1319.5979999999997,4794.2519999999995,7490.929000000001,229516.91700000002,30128.042999999998,225199.74100000004,176475.751,64446.736,68.64,20200715,20677.0,438510.0,525.0,333.0,,2823.0,1028.0,,5475.0,32,645.0,459,2823.0,776,39066,,,39173,,,1853.0,,465.0,71.0,38.0,836.0,,6446.0,1225.0,342.0,,8.0,8.0,0.0,,14.0,,373.0
LA,4116206,1196.5,2563746.1479999996,1311634.901,22644.648,78081.03799999999,735.966,56123.866000000016,83517.65799999998,220190.42299999998,44585.574000000015,45552.95300000001,467182.8209999998,35091.530999999995,765089.1490000001,89.43,1829727.5869999998,2286659.0,0.7635424242424244,285.5518821242424,837003,2281.2000000000003,599343.837,210360.608,3908.37,11584.485999999997,213.80700000000002,4062.4089999999997,7206.180000000001,23538.426999999996,287594.7469999999,45525.58899999999,283937.90100000007,232046.653,105911.91900000001,69.54999999999998,20200715,84131.0,917069.0,2134.0,,571.0,,,,53288.0,129,3461.0,0,,2726,45807,,,45688,,,,,,,,,,84131.0,1468.0,1671.0,27.0,23.0,23.0,4.0,5.0,,19.0,273.0
MA,6801779,497.5,5334612.639,509754.344,13934.483999999999,442706.279,284.625,285254.57000000007,214805.426,788783.6719999999,86483.45700000001,32739.717999999997,739696.942,51529.056,707148.873,31.240000000000002,3555168.895,1206431.0,0.38135,1922.6443397083337,1504212,834.6,1331809.868,74206.718,2049.633,55600.376,127.691,25518.288000000004,15050.498,69607.52,495474.2950000001,75351.346,406123.42400000006,514453.135,131557.826,24.33,20200715,112347.0,876366.0,3977.0,1089.0,289.0,11651.0,,,95390.0,252,8368.0,971,11651.0,3840,13844,,,15652,,,10550.0,21915.0,2349.0,,,,5913.0,40128.0,6284.0,686.0,576.0,217.0,217.0,,,,545.0,2982.0
MD,5343405,863.5,3156966.184,1390887.201,13606.116000000002,358824.7810000001,2099.256,238561.50299999997,183502.36900000006,556478.6919999999,75240.37000000001,40107.158,493413.07999999984,43777.01,418551.23799999995,55.98,2754849.045,2058225.0,0.3136095238095238,574.2231634390477,2159598,1942.8999999999999,1372355.2409999995,647550.6570000001,5692.119999999999,92505.86600000001,418.973,18531.183,22665.792999999998,58465.884999999995,715728.107,132152.514,606788.421,706171.4370000002,194903.14100000003,58.480000000000004,20200715,75016.0,605072.0,1711.0,611.0,,11625.0,,,5238.0,69,3341.0,296,11625.0,1784,13472,,,14114,,,21784.0,19822.0,1458.0,,,,3583.0,12975.0,1431.0,1354.0,376.0,130.0,130.0,,,,36.0,134.0
